Date,Close,High,Low,Open,Volume,EMA_20,EMA_50,EMA_100,EMA_200
,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,,,,
2010-06-16,281.5703430175781,283.4419152473959,278.844765312489,282.4061824109772,2328816,270.6229885722215,271.8067852089205,272.7467359247402,271.82879474893707
2010-06-17,281.7520751953125,285.20447395256645,277.5365234798317,282.36987730382526,1528920,271.6829015839445,272.1967965809358,272.9250594746525,271.92753385785625
2010-06-18,284.6229553222656,286.6943984970001,280.6436080462134,281.7520050403418,2225672,272.9152876542608,272.684096923733,273.15670097658546,272.0538564594922
2010-06-21,286.2583312988281,288.5478120210199,285.1317459282971,288.1480695164874,1907428,274.1860537156482,273.21641984040343,273.4161392007883,272.19519451759504
2010-06-22,282.969482421875,285.82224484264117,281.0252237098199,285.27712930892983,1468324,275.02257073528887,273.5988928828141,273.60531431407713,272.3024013624138
2010-06-23,285.74951171875,286.71255787685385,279.77140790480934,279.82592832160924,2959524,276.04418416228515,274.0753877391253,273.8457934706053,272.43620345551165
2010-06-24,281.0797119140625,286.5490327058314,278.9901026077105,285.74952557854436,3777510,276.523758233883,274.3500671185346,273.98903938037677,272.52220851480075
2010-06-25,275.64666748046875,281.9336602063549,274.77447403075473,281.9336602063549,2037322,276.4402257811769,274.40091419155164,274.0218636991905,272.5532976587378
2010-06-28,277.9180603027344,278.79025399980594,275.31966747334775,275.6285795739305,1153124,276.5809719260871,274.53884149002937,274.09901610718146,272.60667838156365
2010-06-29,273.9388122558594,278.0090140214873,272.19444640796604,278.0090140214873,2614662,276.3293376717797,274.51531093182666,274.09584375368996,272.6199334449895
2010-06-30,272.921142578125,276.1555032066991,269.3778920586353,274.37478381689,3316516,276.00474766286015,274.45279452579916,274.07258234427286,272.6229305507918
2010-07-01,266.0163879394531,272.5577745281282,263.7450731517187,272.5577745281282,3407744,275.05347530825,274.12195505182484,273.9130537421972,272.5571938083904
2010-07-02,270.3045654296875,271.1040724925017,265.59839780481644,267.033872866105,2943550,274.6011981769583,273.9722534980155,273.84159852808807,272.53477959566703
2010-07-05,268.560302734375,272.15807479624016,267.869814057997,272.1217204454344,2165596,274.0258748014742,273.7600201347355,273.73701841336106,272.49523256222136
2010-07-06,275.88287353515625,276.88225162620915,267.4153977826869,267.65162329471,2760904,274.2027318237296,273.8432692876932,273.77951059399066,272.5289404325988
2010-07-07,277.8634948730469,278.88106141508314,272.17613722466916,276.7005997063829,2152934,274.5513759236646,274.0009251930012,273.86038156981357,272.5820205762849
2010-07-08,282.2972717285156,283.09677926401247,279.6988999641716,280.55290576613305,2187564,275.2890802860313,274.3262721159626,274.0274487016691,272.67868974197876
2010-07-09,281.4432067871094,284.91377189378585,280.0985837846115,283.4601302004502,1836666,275.8751875718483,274.60536759326243,274.1742953964303,272.7658988668059
2010-07-12,287.7119445800781,288.5477838502845,283.38735305307307,283.38735305307307,2725776,277.0024977631083,275.1193510045101,274.44236765749264,272.9146157395748
2010-07-13,281.5158386230469,287.8209993707781,279.6624325155838,287.8209993707781,5545886,277.4323397497691,275.37019365621745,274.5824363894838,273.00020004687303
2010-07-14,281.5158386230469,285.1681082319312,279.91682419866396,282.7332544324058,2833842,277.82124440436695,275.6111993411912,274.7197314832177,273.084932769024
2010-07-15,284.2232360839844,285.2408028452244,278.09978033859414,280.1893899262412,3795536,278.43095789766386,275.94892627228114,274.90791969313386,273.1957616577301
2010-07-16,302.95697021484375,304.7195010924315,288.91115488191184,288.91115488191184,19135452,280.7667685945381,277.0080652504209,275.463346436138,273.4918930861591
2010-07-19,300.4313659667969,303.338649010519,299.17759571802986,302.1575652740069,3027924,282.6395873918961,277.9266260628278,275.9577626644679,273.7599475426829
2010-07-20,300.6312561035156,303.28414761121047,299.8135826961625,300.43138481788037,2342062,284.35307965014556,278.81700371148224,276.44634669296386,274.02732374726827
2010-07-21,306.35498046875,307.00911478091956,301.4852720255105,302.3574658956109,2943720,286.44849877572693,279.89692436863,277.0385968667418,274.34899197335267
2010-07-22,306.60931396484375,307.44515332614105,302.53911364540477,306.3549222859774,1362882,288.36857641278567,280.94446905867756,277.6241556211597,274.66999020212376
2010-07-23,305.01031494140625,308.8988102834895,303.4839869720791,308.8988102834895,1894472,289.9535038917019,281.88822772074536,278.166455805719,274.9718839806241
2010-07-26,308.62615966796875,309.48016489658386,305.4099877771908,306.1368082886255,2766490,291.73185206087015,282.93677407161687,278.7696182584368,275.3067523954236
2010-07-27,308.5898742675781,312.4601807688572,307.5178094146286,310.71581571329443,2106602,293.33737798531854,283.94277800087025,279.36011837742967,275.6379277374351
2010-07-28,310.5159912109375,311.7879274900781,307.8085795520336,309.26222101390863,4359228,294.97343638775845,284.9848647934219,279.9770663543308,275.9849731451317
2010-07-29,309.6236572265625,311.444972857307,309.2593941004136,311.444972857307,5331904,296.3686955152636,285.9510919476627,280.56412755972156,276.31968641957377
2010-07-30,305.9080505371094,309.6235374328735,304.1595926546463,309.25927444765836,1283426,297.27720551734416,286.7337177746998,281.0659874206599,276.61409800283286
2010-08-02,305.3616638183594,309.0589421053782,304.888126372117,307.0737043389422,2827762,298.0471539269647,287.46422546268644,281.5470899235847,276.90014343383314
2010-08-03,303.0851135253906,307.6201936510086,301.810192651763,306.34527277738096,1281552,298.52695960300525,288.0768093082827,281.9735854404521,277.1606903999183
2010-08-04,316.4716796875,317.63732569625773,304.4692097802747,304.52385812164164,5583934,300.2359805634333,289.1903336368795,282.65671601960156,277.5518445221828
2010-08-05,319.7681579589844,321.4255718370469,315.32416864199877,317.63722901982067,2912950,302.09618793443815,290.3894640024522,283.3915960580052,277.9719073424495
2010-08-06,314.9783020019531,321.82644372635616,313.5030409170111,320.5515228966535,2437734,303.32305594086813,291.35373215929536,284.0170753836279,278.3401301748824
2010-08-09,320.49676513671875,321.8991909103817,308.2028899039999,313.6850653866457,4259986,304.9586472928539,292.4965961976257,284.7394454777485,278.75959917947785
2010-08-10,314.9052734375,322.3726628018363,313.7760673535911,322.3726628018363,1545194,305.90594502091545,293.37536785409134,285.33678860566437,279.11925762980644
2010-08-11,312.5923156738281,318.00161256137125,311.37202123207845,313.9947193904948,4020248,306.5427422259547,294.12897365094375,285.87650201295475,279.4523228839758
2010-08-12,310.8802185058594,312.13693012742954,308.23931212361106,312.13693012742954,2278092,306.95583520499326,294.78588521388167,286.3716251118242,279.76503826329804
2010-08-13,311.22625732421875,314.322492239556,305.2523363591359,312.1733320522428,2589906,307.3625420734909,295.43060568879685,286.86379604672305,280.0780852191281
2010-08-16,311.1169738769531,314.1950002230742,309.1863847060519,312.17334531549983,1319098,307.72010700715396,296.04575738245,287.34405699385627,280.38692988239006
2010-08-17,309.6964416503906,313.63047804338896,307.43800635147534,309.6600020066096,1733196,307.90832935412885,296.58107833413396,287.7866784722035,280.678566815405
2010-08-18,317.3094177246094,319.02145787902276,309.6234790782745,310.71626782796255,2888916,308.80367110369843,297.3939543886624,288.37128717027093,281.0430528941036
2010-08-19,317.6554260253906,320.8791657106909,315.92517742182224,318.3657430565816,2148534,309.6466953819548,298.1885219038282,288.9511711079961,281.4073551143154
2010-08-20,316.5263977050781,320.51508275028004,314.3590280017169,316.5446064119258,1746396,310.3019051270142,298.90765428819094,289.49721519902744,281.75679832417376
2010-08-23,317.05450439453125,318.8940279836717,312.1915803069554,313.2661605367615,1049830,310.9450098191587,299.61929546883175,290.0429040939879,282.1080192800977
2010-08-24,317.1638488769531,321.2435995709341,315.0875450008969,316.90886028991946,2650474,311.5372802056153,300.307317171111,290.5799525055317,282.4568335049421
2010-08-25,317.3459167480469,321.0978210442518,315.56101922970413,317.63732268926555,2379968,312.09048368584683,300.9754975466771,291.10997159944293,282.80398856208745
2010-08-26,319.27642822265625,320.1870854623101,313.3571561649059,318.36577098300234,4204428,312.7748593560192,301.69318110259786,291.66772321574416,283.16689840945634
2010-08-27,311.82733154296875,318.0015937373601,309.987807869981,317.673748149646,1276514,312.6846186119191,302.0905987669262,292.06692338063965,283.45207684859577
2010-08-30,308.03900146484375,314.2860983038196,306.017324116367,314.2860983038196,1558570,312.2421788836262,302.32386946096216,292.3832021545843,283.6967228646779
2010-08-31,307.3468322753906,308.7856752256486,302.4110742599368,305.98084635416666,2447874,311.7759553971276,302.52084839486133,292.679511661927,283.93204733642625
2010-09-01,312.6833801269531,313.63045507026226,305.9809317758656,306.7094578039034,2745484,311.8623767999681,302.9193790510218,293.07562786915526,284.21813024976484
2010-09-02,307.4743957519531,315.9981590209906,306.52732082554877,315.9981590209906,2758800,311.4444738430143,303.0980071569407,293.3607519856463,284.4495358766523
2010-09-03,304.997314453125,310.1698519563944,304.1959316456592,309.6234576194189,2777970,310.83045866302484,303.17248979600674,293.5911789652003,284.65399138487595
2010-09-06,311.5723571777344,312.3555315435491,305.252402837894,305.252402837894,2287978,310.9011156644258,303.50189635999607,293.947241900102,284.9218358206258
2010-09-07,317.4005432128906,318.69369459643366,311.80911528405534,312.53764125434515,2484236,311.5201087642796,304.0469413346194,294.411663708276,285.24500703845933
2010-09-08,320.205322265625,321.6077478774915,312.86543760948325,314.7231696482971,4189478,312.3472719548839,304.6806033319138,294.9224292242631,285.5928708715655
2010-09-09,318.6208801269531,321.46212734416133,317.40058562395296,321.27999582725243,2938158,312.94475844746194,305.2272808532879,295.39170547976187,285.9215077795793
2010-09-13,320.46038818359375,323.82982108009645,317.1638123368287,317.40056995741344,2349410,313.6605327080459,305.8246576113391,295.8881150382536,286.26517823136055
2010-09-14,326.14288330078125,327.4724522056573,320.66072934279606,321.6442439350338,3071038,314.8493280025921,306.62145077563093,296.4872193602838,286.6619713166284
2010-09-15,333.2277526855469,334.90337564791315,327.47240234124666,327.83666530269414,5560394,316.5996541628735,307.66483516425507,297.2147546736553,287.12531242477684
2010-09-16,326.1611022949219,332.7360450628954,314.9053665912896,330.7508072468374,2334264,317.5102682706877,308.3901789733008,297.7879496760566,287.5137282443803
2010-09-17,332.8636169433594,334.66672373823434,327.873208017644,327.873208017644,3007978,318.97249195379925,309.3499216387933,298.48251734471603,287.96497091800194
2010-09-20,332.29888916015625,335.81403565855186,330.27723415499764,334.029138240464,2419108,320.24167264011896,310.249881149435,299.1521484697742,288.4061044328493
2010-09-21,347.4886169433594,348.9638773226325,331.58853159392424,332.2077830044268,4997184,322.8366197166181,311.7102237295889,300.10930626133035,288.9939901294713
